Month,MonthID,Gender,Percentage,PercentageFull
February,2,Male,0.59,58.73
February,2,Female,0.41,41.27
March,3,Male,0.71,70.91
March,3,Female,0.29,29.09
April,4,Male,0.62,61.92
April,4,Female,0.38,38.08
May,5,Male,0.60,59.60
May,5,Female,0.40,40.40
June,6,Male,0.47,46.63
June,6,Female,0.53,53.37
July,7,Male,0.70,69.92
July,7,Female,0.30,30.08
August,8,Male,0.68,67.78
August,8,Female,0.32,32.22
September,9,Male,0.62,62.01
September,9,Female,0.38,37.99
October,10,Male,0.59,59.10
October,10,Female,0.41,40.90
