Date,Country/Region,Confirmed,Deaths,Recovered,Active,WHO Region
2020-01-22,Australia,0,0,0,0,Western Pacific
2020-01-22,Canada,0,0,0,0,Americas
2020-01-22,China,548,17,28,503,Western Pacific
2020-01-22,France,0,0,0,0,Europe
2020-01-22,India,0,0,0,0,South-East Asia
2020-01-22,Italy,0,0,0,0,Europe
2020-01-22,New Zealand,0,0,0,0,Western Pacific
2020-01-22,Russia,0,0,0,0,Europe
2020-01-22,US,1,0,0,1,Americas
2020-01-22,United Kingdom,0,0,0,0,Europe
2020-01-23,Australia,0,0,0,0,Western Pacific
2020-01-23,Canada,0,0,0,0,Americas
2020-01-23,China,643,18,30,595,Western Pacific
2020-01-23,France,0,0,0,0,Europe
2020-01-23,India,0,0,0,0,South-East Asia
2020-01-23,Italy,0,0,0,0,Europe
2020-01-23,New Zealand,0,0,0,0,Western Pacific
2020-01-23,Russia,0,0,0,0,Europe
2020-01-23,US,1,0,0,1,Americas
2020-01-23,United Kingdom,0,0,0,0,Europe
2020-01-24,Australia,0,0,0,0,Western Pacific
2020-01-24,Canada,0,0,0,0,Americas
2020-01-24,China,920,26,36,858,Western Pacific
2020-01-24,France,2,0,0,2,Europe
2020-01-24,India,0,0,0,0,South-East Asia
2020-01-24,Italy,0,0,0,0,Europe
2020-01-24,New Zealand,0,0,0,0,Western Pacific
2020-01-24,Russia,0,0,0,0,Europe
2020-01-24,US,2,0,0,2,Americas
2020-01-24,United Kingdom,0,0,0,0,Europe
2020-01-25,Australia,0,0,0,0,Western Pacific
2020-01-25,Canada,0,0,0,0,Americas
2020-01-25,China,1406,42,39,1325,Western Pacific
2020-01-25,France,3,0,0,3,Europe
2020-01-25,India,0,0,0,0,South-East Asia
2020-01-25,Italy,0,0,0,0,Europe
2020-01-25,New Zealand,0,0,0,0,Western Pacific
2020-01-25,Russia,0,0,0,0,Europe
2020-01-25,US,2,0,0,2,Americas
2020-01-25,United Kingdom,0,0,0,0,Europe
2020-01-26,Australia,4,0,0,4,Western Pacific
2020-01-26,Canada,1,0,0,1,Americas
2020-01-26,China,2075,56,49,1970,Western Pacific
2020-01-26,France,3,0,0,3,Europe
2020-01-26,India,0,0,0,0,South-East Asia
2020-01-26,Italy,0,0,0,0,Europe
2020-01-26,New Zealand,0,0,0,0,Western Pacific
2020-01-26,Russia,0,0,0,0,Europe
2020-01-26,US,5,0,0,5,Americas
2020-01-26,United Kingdom,0,0,0,0,Europe
2020-01-27,Australia,5,0,0,5,Western Pacific
2020-01-27,Canada,1,0,0,1,Americas
2020-01-27,China,2877,82,58,2737,Western Pacific
2020-01-27,France,3,0,0,3,Europe
2020-01-27,India,0,0,0,0,South-East Asia
2020-01-27,Italy,0,0,0,0,Europe
2020-01-27,New Zealand,0,0,0,0,Western Pacific
2020-01-27,Russia,0,0,0,0,Europe
2020-01-27,US,5,0,0,5,Americas
2020-01-27,United Kingdom,0,0,0,0,Europe
2020-01-28,Australia,5,0,0,5,Western Pacific
2020-01-28,Canada,2,0,0,2,Americas
2020-01-28,China,5509,131,101,5277,Western Pacific
2020-01-28,France,4,0,0,4,Europe
2020-01-28,India,0,0,0,0,South-East Asia
2020-01-28,Italy,0,0,0,0,Europe
2020-01-28,New Zealand,0,0,0,0,Western Pacific
2020-01-28,Russia,0,0,0,0,Europe
2020-01-28,US,5,0,0,5,Americas
2020-01-28,United Kingdom,0,0,0,0,Europe
2020-01-29,Australia,6,0,0,6,Western Pacific
2020-01-29,Canada,2,0,0,2,Americas
